s&r
16558.97
16501.39
16532.0
16520.0
16547.75
16580.0
16597.0
16603.38
16617.45
16717.9
16645.1
16764.54
16710.0
16750.0
16732.6
16690.21
16677.28
16743.46
16655.0
16665.17
16781.83
16610.0
16628.0
16637.62
16850.0
16795.51
16830.56
16906.05
16843.17
